name,coaster_id,type,design,scale,opening,amusement_park,amusement_park_id,status
Vesmír,19051,Steel,Sit Down,Family,2025-07,Fantázia Liptov Park,19050,under construction
unknown,21593,Steel,Sit Down,Thrill,2024,Fenghu Park,21592,under construction
unknown,21395,Steel,Sit Down,Family,2024,Fantawild,21394,under construction
unknown,21396,Steel,Sit Down,Extreme,2024,Fantawild,21394,under construction
unknown,18854,Steel,Sit Down,Thrill,2025-07,Font-Romeu Pyrénées 2000,21412,under construction
unknown,20200,Steel,Sit Down,,2026,Fraispertuis City,5216,under construction
unknown,22140,Steel,Sit Down,Thrill,2026,Freizeitpark Plohn,4925,under construction
unknown,19064,Steel,Sit Down,Family,2023,Fruit Man Rice Dream Space,19063,under construction
unknown,21880,Steel,Sit Down,Family,2025,Fun City,21879,under construction
unknown,21774,Steel,Sit Down,Extreme,2024,GAST Conference & Wellness City Resort,21773,under construction
Mad Ramp Peak,15485,Steel,Sit Down,Thrill,2024,Genting SkyWorlds,4977,under construction
Andromeda Base,15999,Steel,Sit Down,Extreme,2024,Genting SkyWorlds,4977,under construction
unknown,22043,Steel,Sit Down,Thrill,2025,Grouse Mountain,22042,under construction
unknown,21589,Steel,Sit Down,Thrill,2024-02,Guiping Happy World,21588,under construction
unknown,20709,Steel,Sit Down,Thrill,2024,Happy Coast,20708,under construction
unknown,20661,Steel,Sit Down,Extreme,2026,Happy Time Theme Park,16582,under construction
unknown,17539,Steel,Sit Down,Thrill,2023,Happy Valley,19161,under construction
unknown,19734,Steel,Inverted,Extreme,2023,Happy Valley,19161,under construction
unknown,20263,Steel,Sit Down,Thrill,2023,Happy Valley,19161,under construction
unknown,20476,Wood,Sit Down,,2023,Happy Valley,19161,under construction
unknown,21548,Steel,Sit Down,Family,2024,Happy Valley,21547,under construction
unknown,20285,Steel,Sit Down,Thrill,2022-07,Happy World,20284,under construction
unknown,21379,Steel,Sit Down,Thrill,2024,Happy World,21378,under construction
unknown,21591,Steel,Sit Down,Thrill,2024,Happy World,21590,under construction
Lil Dipper Roller Coaster,21250,Steel,Sit Down,Kiddie,2024,Historic Hawes Farms,20452,under construction
unknown,20399,Steel,Sit Down,Extreme,2026,Holiday Park,4871,under construction
unknown,21866,Steel,Sit Down,Family,2026,Holiday Park,4871,under construction
unknown,21398,Steel,Sit Down,,2025-05-31,Hossoland,20757,under construction
unknown,22191,Steel,Sit Down,Thrill,2026,Isla Mágica,4867,under construction
unknown,20216,Steel,Sit Down,,2025-03,Jardin d'Acclimatation,5113,under construction
unknown,22220,Steel,Sit Down,Family,2026,Karls Erlebnis-Dorf Döbeln,18135,under construction
Erdbeer Raupenbahn,22154,Steel,Sit Down,Family,2027,Karls Erlebnis-Dorf Bispingen,22153,under construction
Knollis Mini-K2,22155,Steel,Sit Down,Kiddie,2027,Karls Erlebnis-Dorf Bispingen,22153,under construction
Erdbeer Raupenbahn,20464,Steel,Sit Down,Family,2025-05-15,Karls Erlebnis-Dorf Loxstedt,20463,under construction
unknown,22122,Steel,Sit Down,Kiddie,2025-05-15,Karls Erlebnis-Dorf Loxstedt,20463,under construction
Erdbeer-Raupenbahn,19346,Steel,Sit Down,Family,2026,Karls Erlebnis-Dorf Oberhausen,5099,under construction
Erdbeer Raupenbahn,19951,Steel,Sit Down,Family,2027,Karls Erlebnis-Dorf Plech,4880,under construction
Rapterra,21885,Steel,Wing,Extreme,2025,Kings Dominion,4544,under construction
unknown,21756,Steel,Sit Down,Thrill,2025,Legoland Korea,12557,under construction
Dragon,21321,Steel,Sit Down,Family,2025,Legoland Shanghai,19273,under construction
Big LEGO Coaster,22055,Steel,Inverted,Family,2025,Legoland Shanghai,19273,under construction
unknown,22205,Steel,Sit Down,Family,2025,Legoland Shanghai,19273,under construction
unknown,19269,Steel,Sit Down,Family,2025,Legoland Sichuan,17817,under construction
unknown,19270,Steel,Sit Down,Family,2025,Legoland Sichuan,17817,under construction
unknown,19271,Steel,Sit Down,Family,2025,Legoland Sichuan,17817,under construction
unknown,19272,Steel,Inverted,Family,2025,Legoland Sichuan,17817,under construction
Tortoise and the Hare,21892,Steel,Sit Down,Family,2024,Lewa Adventure,6754,under construction
Fire Runner,22033,Steel,Sit Down,Extreme,2025,Lost Island Theme Park,17529,under construction
unknown,20137,Steel,Sit Down,,2025,MagicLand,5627,under construction
unknown,21908,Steel,Sit Down,Family,2026,Majaland Gliwice,21907,under construction
unknown,22254,Steel,Sit Down,Family,2025,Malibu Park,22253,under construction
Aquila,21330,Steel,Sit Down,Thrill,2025,Mandoria,17863,under construction
